entry,at,order
"The player ""ramune @ 3rSQmMhWok"" quits the game with a stack of 0.",2025-11-15T05:09:47.023Z,176318338702300
"-- ending hand #121 --",2025-11-15T05:09:41.021Z,176318338102101
"""whywaita @ DtjzvbAuKs"" collected 92664 from pot with Flush, Ah High (combination: A♥, Q♥, 10♥, 9♥, 4♥)",2025-11-15T05:09:41.021Z,176318338102100
"River: 4♥, 6♦, 9♥, Q♥ [10♥]",2025-11-15T05:09:37.017Z,176318337701700
"Turn: 4♥, 6♦, 9♥ [Q♥]",2025-11-15T05:09:33.012Z,176318337301200
"Flop:  [4♥, 6♦, 9♥]",2025-11-15T05:09:29.003Z,176318336900300
"""whywaita @ DtjzvbAuKs"" shows a A♥, 4♦.",2025-11-15T05:09:24.978Z,176318336497801
"""ramune @ 3rSQmMhWok"" shows a Q♠, J♠.",2025-11-15T05:09:24.978Z,176318336497800
"""whywaita @ DtjzvbAuKs"" calls 45666",2025-11-15T05:09:24.128Z,176318336412800
"""ramune @ 3rSQmMhWok"" raises to 45666 and go all in",2025-11-15T05:09:22.189Z,176318336218900
"""whywaita @ DtjzvbAuKs"" raises to 8000",2025-11-15T05:09:18.384Z,176318335838400
"""ramune @ 3rSQmMhWok"" posts a big blind of 4000",2025-11-15T05:09:14.567Z,176318335456707
"""whywaita @ DtjzvbAuKs"" posts a small blind of 2000",2025-11-15T05:09:14.567Z,176318335456706
"""whywaita @ DtjzvbAuKs"" posts an ante of 666",2025-11-15T05:09:14.567Z,176318335456705
"""ramune @ 3rSQmMhWok"" posts an ante of 666",2025-11-15T05:09:14.567Z,176318335456704
"Your hand is A♥, 4♦",2025-11-15T05:09:14.567Z,176318335456703
"Player stacks: #5 ""ramune @ 3rSQmMhWok"" (46332) | #9 ""whywaita @ DtjzvbAuKs"" (403668)",2025-11-15T05:09:14.567Z,176318335456701
"-- starting hand #121 (id: jtnjnrtpd79o)  (No Limit Texas Hold'em) (dealer: ""whywaita @ DtjzvbAuKs"") --",2025-11-15T05:09:14.567Z,176318335456700
"-- ending hand #120 --",2025-11-15T05:09:11.587Z,176318335158702
"""whywaita @ DtjzvbAuKs"" collected 41332 from pot",2025-11-15T05:09:11.587Z,176318335158701
